year,muni_code,party,share,coverage,councils,history_in_province
2021,WC047,THE ORGANIC HUMANITY MOVEMENT,0.004001733234776846,1,7,FALSE
2021,WC047,IQELA LENTSANGO - DAGGA PARTY,6.627074146764204e-4,0.14285714285714285,4,FALSE
2021,WC048,ACTIVE UNITED FRONT,0.005145504622413904,0.2727272727272727,3,TRUE
2021,WC048,AFRICA RESTORATION ALLIANCE,0.0011315840040993232,0.6363636363636364,15,FALSE
2021,WC048,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.006597348250314922,0.9090909090909091,20,FALSE
2021,WC048,IQELA LENTSANGO - DAGGA PARTY,9.394282298183061e-4,0.36363636363636365,4,FALSE
2021,WC048,PATRIOTIC ALLIANCE,0.07374511604073702,0.9090909090909091,23,TRUE
2021,WC048,THE ORGANIC HUMANITY MOVEMENT,0.0016012981190084762,0.5454545454545454,7,FALSE
2021,WC048,UNITED INDEPENDENT MOVEMENT,0.002647479556760681,0.8181818181818182,5,FALSE
2021,WC048,KNYSNA INDEPENDENT MOVEMENT,0.07895467258791126,0.8181818181818182,1,FALSE
2021,WC048,KNYSNA SOCIAL DEMOCRATIC PARTY,5.978179644298311e-4,0.09090909090909091,1,FALSE
2021,WC051,PATRIOTIC ALLIANCE,0.1386951805361847,1,23,TRUE
2021,WC052,CAPE INDEPENDENCE PARTY / KAAPSE ONAFHANKLIKHEIDS PARTY,0.0031244420639171574,0.75,20,FALSE
2021,WC052,KAROO ONTWIKKELINGS PARTY,0.009819675058025352,0.25,2,TRUE
2021,WC052,PATRIOTIC ALLIANCE,0.14345652562042494,1,23,TRUE
2021,WC052,SPECTRUM NATIONAL PARTY,0.018746652383502947,1,11,FALSE
2021,WC052,UNITED COMMUNITY FRONT,0.045706123906445274,1,1,FALSE
2021,WC052,SUID - KAAP SAAMSTAAN,0.001339046598821639,0.5,3,FALSE
2021,WC053,PATRIOTIC ALLIANCE,0.21925257817422159,1,23,TRUE
2021,WC053,AFRICA RESTORATION ALLIANCE,0.0020890672149086447,0.8571428571428571,15,FALSE
