file,url,retrieved_utc,bytes,sha256,note
data/raw/iec/lge/2021/downloadable_party_results/CPT.csv,https://results.elections.org.za/home/LGEPublicReports/1091/Downloadable%20Party%20Results/WP/CPT.csv,2026-09-24 13:19:02 UTC,9894016,2fbc2cf33a6bab2aa37c671faac720a143bd5d3f45f864ace131a0b037ce5b6b,
data/raw/iec/lge/2021/seat_calculation_detail/CPT.xls,https://results.elections.org.za/home/LGEPublicReports/1091/Seat%20Calculation%20Detail/WP/CPT.xls,2026-09-24 13:24:34 UTC,40896,127276bcba8a1e00faf2fbd191e236d32e9f5dd41860500c7b1de49352cfa01d,
data/raw/iec/lge/2021/detailed_results/CPT.pdf,https://results.elections.org.za/home/LGEPublicReports/1091/Detailed%20Results/WP/CPT.pdf,2026-09-24 13:24:35 UTC,52889,b1ba491df055be0e0ce8e2327bdb996b35f5a8710e010ae93c8d671c53bfbc76,
data/raw/iec/lge/2021/downloadable_party_results/WC011.csv,https://results.elections.org.za/home/LGEPublicReports/1091/Downloadable%20Party%20Results/WP/WC011.csv,2026-09-24 13:24:36 UTC,158762,8463772ca57c3164da5e09f9745ca07bbd09ff6275f02309b4cda124cac10ee5,
data/raw/iec/lge/2021/seat_calculation_detail/WC011.xls,https://results.elections.org.za/home/LGEPublicReports/1091/Seat%20Calculation%20Detail/WP/WC011.xls,2026-09-24 13:24:36 UTC,24512,cfa8b90c1c370d5a3040e30e4851cb5d9fe56dea04069562205dd74f7f321e0a,
data/raw/iec/lge/2021/detailed_results/WC011.pdf,https://results.elections.org.za/home/LGEPublicReports/1091/Detailed%20Results/WP/WC011.pdf,2026-09-24 13:24:37 UTC,25621,9a17a184c038b8f4ea0e56df8e85ba56d549ed09b5e8ee72708639684d777ab8,
data/raw/iec/lge/2021/downloadable_party_results/WC012.csv,https://results.elections.org.za/home/LGEPublicReports/1091/Downloadable%20Party%20Results/WP/WC012.csv,2026-09-24 13:24:38 UTC,140277,5e893b1465999eb9305786785d87b6cf6552a810198ba774a1a8795068f35fb4,
data/raw/iec/lge/2021/seat_calculation_detail/WC012.xls,https://results.elections.org.za/home/LGEPublicReports/1091/Seat%20Calculation%20Detail/WP/WC012.xls,2026-09-24 13:24:38 UTC,24512,c5d4393fc3ca82073596e3e11dc924aecc245319ec34d7024b4bacf13701f47a,
data/raw/iec/lge/2021/detailed_results/WC012.pdf,https://results.elections.org.za/home/LGEPublicReports/1091/Detailed%20Results/WP/WC012.pdf,2026-09-24 13:24:39 UTC,25629,94b571e6031ac87925d4009a7d294d98df97d8ac6dc42da340abd4df45c0a107,
data/raw/iec/lge/2021/downloadable_party_results/WC013.csv,https://results.elections.org.za/home/LGEPublicReports/1091/Downloadable%20Party%20Results/WP/WC013.csv,2026-09-24 13:24:40 UTC,96824,b828b2528db7bb38e60394f321d79b8304d5d8459ad9ebbdd6a80431c04b053b,
data/raw/iec/lge/2021/seat_calculation_detail/WC013.xls,https://results.elections.org.za/home/LGEPublicReports/1091/Seat%20Calculation%20Detail/WP/WC013.xls,2026-09-24 13:24:40 UTC,24512,92588cb3fab8a6e39025c1bd44a61e750a9fca2f5aa391ff362a3a27cc1b2710,
data/raw/iec/lge/2021/detailed_results/WC013.pdf,https://results.elections.org.za/home/LGEPublicReports/1091/Detailed%20Results/WP/WC013.pdf,2026-09-24 13:24:41 UTC,23005,3f9187f21b0d1c79890f393a0e20d2c6d761ec89c220fc924136da39cc1d35a1,
data/raw/iec/lge/2021/downloadable_party_results/WC014.csv,https://results.elections.org.za/home/LGEPublicReports/1091/Downloadable%20Party%20Results/WP/WC014.csv,2026-09-24 13:24:41 UTC,164156,33c828f22c1f57cfa24ae50569a7483e08f6e5ea6ccd161073dad296fa3ac84a,
data/raw/iec/lge/2021/seat_calculation_detail/WC014.xls,https://results.elections.org.za/home/LGEPublicReports/1091/Seat%20Calculation%20Detail/WP/WC014.xls,2026-09-24 13:24:42 UTC,24512,524dcb78321af17b3ab0f10de97cd8aeb12a9ea617ff392ab42ec880a80c6e0f,
